Date,BTC,ETH,USDT,DOT,XRP,ADA,LINK,LTC,BCH,BNB
2016-01-03,430.010986328125,0.971904993057251,1.0,0.0,0.0060171401128172874,0.0,0.0,3.483069896697998,0.0,0.0,
2016-01-04,433.09100341796875,0.954479992389679,1.0,0.0,0.005957750137895346,0.0,0.0,3.495389938354492,0.0,0.0,
2016-01-05,431.9599914550781,0.9501760005950928,1.000249981880188,0.0,0.006044330075383186,0.0,0.0,3.469670057296753,0.0,0.0,
2016-01-06,429.1050109863281,0.9508600234985352,1.0,0.0,0.006003289949148893,0.0,0.0,3.4535601139068604,0.0,0.0,
2016-01-07,458.0480041503906,0.9420049786567688,1.0,0.0,0.006039179861545563,0.0,0.0,3.604140043258667,0.0,0.0,
2016-01-08,453.2300109863281,0.9867889881134033,1.0,0.0,0.005933309905230999,0.0,0.0,3.568880081176758,0.0,0.0,
2016-01-09,447.6109924316406,0.9868329763412476,1.0,0.0,0.005982019938528538,0.0,0.0,3.560570001602173,0.0,0.0,
2016-01-10,447.9909973144531,0.9992309808731079,1.0,0.0,0.005956059787422419,0.0,0.0,3.536720037460327,0.0,0.0,
2016-01-11,448.4280090332031,1.0615999698638916,1.0,0.0,0.005894660018384457,0.0,0.0,3.556619882583618,0.0,0.0,
2016-01-12,435.69000244140625,1.1410000324249268,1.0,0.0,0.00585437985137105,0.0,0.0,3.493680000305176,0.0,0.0,
2016-01-13,432.3710021972656,1.1252000331878662,1.0004500150680542,0.0,0.005793639924377203,0.0,0.0,3.476020097732544,0.0,0.0,
2016-01-14,430.3059997558594,1.1895899772644043,1.0,0.0,0.005529359914362431,0.0,0.0,3.4659900665283203,0.0,0.0,
2016-01-15,364.33099365234375,1.208009958267212,1.0,0.0,0.005229330155998468,0.0,0.0,2.9967799186706543,0.0,0.0,
2016-01-16,387.5360107421875,1.220289945602417,1.0004099607467651,0.0,0.005112050101161003,0.0,0.0,3.086940050125122,0.0,0.0,
2016-01-17,382.29901123046875,1.3274699449539185,1.0,0.0,0.005265799816697836,0.0,0.0,3.0261900424957275,0.0,0.0,
2016-01-18,387.1679992675781,1.4263399839401245,1.0,0.0,0.005326029844582081,0.0,0.0,3.048959970474243,0.0,0.0,
2016-01-19,380.14898681640625,1.3713899850845337,1.0,0.0,0.005270710214972496,0.0,0.0,3.0174400806427,0.0,0.0,
2016-01-20,420.2300109863281,1.5318200588226318,1.0,0.0,0.005380869843065739,0.0,0.0,3.3885300159454346,0.0,0.0,
2016-01-21,410.2619934082031,1.553570032119751,1.0,0.0,0.005312569905072451,0.0,0.0,3.2207798957824707,0.0,0.0,
2016-01-22,382.49200439453125,1.501270055770874,1.0000699758529663,0.0,0.00511437002569437,0.0,0.0,3.0765700340270996,0.0,0.0,
2016-01-23,387.4909973144531,1.9726699590682983,1.0001499652862549,0.0,0.0051200902089476585,0.0,0.0,3.103480100631714,0.0,0.0,
2016-01-24,402.97100830078125,2.141200065612793,1.0000100135803223,0.0,0.005219379905611277,0.0,0.0,3.180999994277954,0.0,0.0,
2016-01-25,391.72601318359375,2.499269962310791,1.0000100135803223,0.0,0.00513465004041791,0.0,0.0,3.1272799968719482,0.0,0.0,
2016-01-26,392.15301513671875,2.276370048522949,1.0,0.0,0.005419000051915646,0.0,0.0,3.154819965362549,0.0,0.0,
2016-01-27,394.97198486328125,2.388550043106079,1.0,0.0,0.006505880039185286,0.0,0.0,3.287450075149536,0.0,0.0,
2016-01-28,380.28900146484375,2.5264899730682373,0.9999989867210388,0.0,0.006225959863513708,0.0,0.0,3.1201601028442383,0.0,0.0,
2016-01-29,379.4739990234375,2.494960069656372,0.9999780058860779,0.0,0.006839539855718613,0.0,0.0,3.111380100250244,0.0,0.0,
2016-01-30,378.2550048828125,2.4450600147247314,1.0,0.0,0.006634079851210117,0.0,0.0,3.0808000564575195,0.0,0.0,
2016-01-31,368.7669982910156,2.306040048599243,0.9999989867210388,0.0,0.006399190053343773,0.0,0.0,3.0521600246429443,0.0,0.0,
2016-02-01,373.0559997558594,2.2116899490356445,0.9999690055847168,0.0,0.006541709881275892,0.0,0.0,3.077239990234375,0.0,0.0,
2016-02-02,374.447998046875,2.4396400451660156,1.0,0.0,0.006768269930034876,0.0,0.0,3.0758700370788574,0.0,0.0,
2016-02-03,369.9490051269531,2.5286900997161865,1.0,0.0,0.006882559973746538,0.0,0.0,3.047529935836792,0.0,0.0,
2016-02-04,389.593994140625,2.5780398845672607,1.0,0.0,0.006970460060983896,0.0,0.0,3.1627700328826904,0.0,0.0,
2016-02-05,386.54901123046875,2.538990020751953,1.0,0.0,0.007262079976499081,0.0,0.0,3.1374099254608154,0.0,0.0,
2016-02-06,376.5220031738281,2.5344600677490234,1.0,0.0,0.007922209799289703,0.0,0.0,3.0989999771118164,0.0,0.0,
2016-02-07,376.6199951171875,2.9643399715423584,1.0,0.0,0.008338140323758125,0.0,0.0,3.0859599113464355,0.0,0.0,
2016-02-08,373.4469909667969,3.1797900199890137,1.0,0.0,0.007990820333361626,0.0,0.0,3.062160015106201,0.0,0.0,
2016-02-09,376.02899169921875,4.044640064239502,1.0,0.0,0.00781541969627142,0.0,0.0,3.081549882888794,0.0,0.0,
2016-02-10,381.64898681640625,4.436260223388672,1.0,0.0,0.007853459566831589,0.0,0.0,3.095249891281128,0.0,0.0,
2016-02-11,379.65399169921875,6.0131001472473145,1.0,0.0,0.007815180346369743,0.0,0.0,3.07561993598938,0.0,0.0,
2016-02-12,384.26300048828125,5.546979904174805,1.0,0.0,0.00797939021140337,0.0,0.0,3.111870050430298,0.0,0.0,
2016-02-13,391.8599853515625,5.38532018661499,1.0,0.0,0.008257459849119186,0.0,0.0,3.129689931869507,0.0,0.0,
2016-02-14,407.2300109863281,5.239729881286621,1.0008900165557861,0.0,0.008590060286223888,0.0,0.0,3.21058988571167,0.0,0.0,
2016-02-15,400.18499755859375,5.2883501052856445,1.0000100135803223,0.0,0.008630639873445034,0.0,0.0,3.1825098991394043,0.0,0.0,
2016-02-16,407.4880065917969,4.3152899742126465,1.0000100135803223,0.0,0.008450889959931374,0.0,0.0,3.209009885787964,0.0,0.0,
2016-02-17,416.3219909667969,3.757240056991577,1.0,0.0,0.008137909695506096,0.0,0.0,3.241029977798462,0.0,0.0,
2016-02-18,422.37298583984375,4.399129867553711,1.0,0.0,0.007995299994945526,0.0,0.0,3.251430034637451,0.0,0.0,
2016-02-19,420.7850036621094,4.737889766693115,1.0,0.0,0.008244750089943409,0.0,0.0,3.2527899742126465,0.0,0.0,
2016-02-20,437.16400146484375,4.341330051422119,1.0,0.0,0.008252600207924843,0.0,0.0,3.4579899311065674,0.0,0.0,
2016-02-21,438.7980041503906,4.653619766235352,1.0,0.0,0.008100319653749466,0.0,0.0,3.4642701148986816,0.0,0.0,
2016-02-22,437.74798583984375,5.616499900817871,1.0,0.0,0.008050310425460339,0.0,0.0,3.4836299419403076,0.0,0.0,
2016-02-23,420.7359924316406,5.586209774017334,1.0,0.0,0.007969689555466175,0.0,0.0,3.396929979324341,0.0,0.0,
2016-02-24,424.9549865722656,6.2364702224731445,0.9998440146446228,0.0,0.00807609036564827,0.0,0.0,3.3748700618743896,0.0,0.0,
2016-02-25,424.54400634765625,6.104800224304199,1.0,0.0,0.008027349598705769,0.0,0.0,3.3655200004577637,0.0,0.0,
