buyDate,sellDate,coinSymbol,pieces,days,buyRate,sellRate,ProfitPerc,ProfitAmount,TotalValue
2015-08-18,2015-08-20,USDT,995.0,2,1.0,1.0,0.0,0.0,995.0
2015-08-20,2015-08-21,ETH,672.44,1,1.46,1.4,-4.75,-46.82,938.25
2015-08-21,2015-08-27,USDT,928.89,6,1.0,1.0,0.0,0.0,928.89
2015-08-27,2015-08-29,BTC,4.09,2,224.77,229.78,2.23,20.5,940.13
2015-08-29,2015-08-31,XRP,120085.76,2,0.01,0.01,1.71,15.96,946.71
2015-08-31,2015-09-06,ETH,690.06,6,1.36,1.3,-4.59,-43.07,894.2
2015-09-06,2015-09-11,BTC,3.69,5,239.84,240.11,0.11,0.99,886.27
2015-09-11,2015-09-14,XRP,103908.48,3,0.01,0.01,-12.32,-108.09,769.34
2015-09-14,2015-09-20,USDT,761.67,6,1.0,1.0,0.0,0.0,761.67
2015-09-20,2015-09-22,ETH,803.53,2,0.94,0.9,-3.91,-29.45,724.62
2015-09-22,2015-09-23,BTC,3.11,1,230.62,230.28,-0.15,-1.04,716.35
2015-09-23,2015-09-24,USDT,709.21,1,1.0,1.0,0.0,0.0,709.21
2015-09-24,2015-10-12,BTC,2.99,18,234.53,245.31,4.6,32.27,734.4
2015-10-12,2015-10-16,XRP,138222.71,4,0.01,0.01,2.61,18.99,746.06
2015-10-16,2015-10-22,BTC,2.81,6,262.87,274.02,4.24,31.34,769.96
2015-10-22,2015-11-02,ETH,1342.75,11,0.57,0.99,74.35,566.76,1329.04
2015-11-02,2015-11-08,BTC,3.64,6,361.19,373.37,3.37,44.37,1360.15
2015-11-08,2015-11-10,ETH,1310.58,2,1.03,0.93,-9.06,-122.04,1224.54
2015-11-10,2015-11-16,USDT,1212.32,6,1.0,1.0,0.0,0.0,1212.32
2015-11-16,2015-11-23,ETH,1292.01,7,0.93,0.95,1.94,23.27,1223.49
2015-11-23,2015-11-26,XRP,282468.57,3,0.0,0.0,0.07,0.84,1212.13
2015-11-26,2015-12-04,BTC,3.4,8,352.68,363.18,2.98,35.72,1235.76
2015-12-04,2015-12-14,XRP,257325.38,10,0.0,0.01,60.15,735.9,1959.33
2015-12-14,2015-12-17,ETH,1953.42,3,0.99,0.94,-5.27,-102.2,1837.59
2015-12-17,2015-12-20,BTC,3.99,3,456.08,442.68,-2.94,-53.42,1765.83
2015-12-20,2015-12-24,USDT,1748.22,4,1.0,1.0,0.0,0.0,1748.22
2015-12-24,2015-12-25,BTC,3.8,1,454.98,455.65,0.15,2.54,1733.32
2015-12-25,2015-12-26,XRP,264553.33,1,0.01,0.01,-4.82,-82.72,1633.31
2015-12-26,2015-12-27,USDT,1617.02,1,1.0,1.0,0.0,0.0,1617.02
2015-12-27,2015-12-30,XRP,252379.4,3,0.01,0.01,-2.55,-40.74,1560.15
2015-12-30,2016-01-07,ETH,1693.7,8,0.91,0.94,3.29,50.89,1595.47
2016-01-07,2016-01-08,BTC,3.45,1,458.05,453.23,-1.05,-16.61,1562.95
2016-01-08,2016-01-29,ETH,1568.07,21,0.99,2.49,152.84,2364.92,3912.27
2016-01-29,2016-02-07,XRP,566302.45,9,0.01,0.01,21.91,848.66,4721.91
2016-02-07,2016-02-16,ETH,1577.01,9,2.96,4.32,45.57,2130.47,6805.28
2016-02-16,2016-02-22,BTC,16.53,6,407.49,437.75,7.43,500.32,7237.71
2016-02-22,2016-03-11,ETH,1275.8,18,5.62,11.08,97.33,6973.89,14139.41
2016-03-11,2016-03-12,XRP,1590220.98,1,0.01,0.01,-1.16,-163.03,13835.34
2016-03-12,2016-03-17,ETH,1012.12,5,13.53,11.08,-18.12,-2481.52,11215.81
2016-03-17,2016-03-18,BTC,26.4,1,420.62,409.55,-2.63,-292.32,10811.62
2016-03-18,2016-03-22,USDT,10703.79,4,1.0,1.0,0.0,0.01,10703.78
2016-03-22,2016-03-23,BTC,25.35,1,418.09,418.04,-0.01,-1.22,10595.8
2016-03-23,2016-03-24,ETH,844.84,1,12.42,11.23,-9.52,-998.35,9491.76
2016-03-24,2016-03-26,XRP,1141764.7,2,0.01,0.01,-2.0,-188.06,9209.02
2016-03-26,2016-03-28,BTC,21.81,2,417.95,424.23,1.5,137.12,9254.28
2016-03-28,2016-04-04,ETH,785.38,7,11.67,11.16,-4.36,-399.21,8762.76
2016-04-04,2016-04-09,BTC,20.58,5,421.44,419.41,-0.48,-41.85,8633.5
2016-04-09,2016-04-10,USDT,8547.38,1,1.0,1.0,0.0,0.0,8547.38
2016-04-10,2016-04-15,BTC,20.07,5,421.56,429.71,1.93,163.58,8625.7
2016-04-15,2016-04-17,XRP,1329375.89,2,0.01,0.01,1.17,100.23,8639.89
2016-04-17,2016-04-18,ETH,918.85,1,9.31,9.04,-2.93,-250.94,8302.77
